"","JULDAY","TIME","D0cm","D1.5cm","D3.5cm","D5cm","D10cm","D15cm","D30cm","D60cm","D100cm","D200cm"
"6126",256,300,7.58499956130981,18.4421081542969,18.8879432678223,19.2081089019775,20.1874313354492,21.0317821502686,22.7776947021484,23.6328029632568,23.8986854553223,24.1244487762451
"6127",256,360,8.46839618682861,18.344970703125,18.5403633117676,19.0379905700684,19.9407577514648,20.7846488952637,22.5884113311768,23.5991973876953,23.8953742980957,24.1244487762451
"6128",256,420,14.7618608474731,18.658088684082,18.8774681091309,19.0682945251465,19.8198585510254,20.5810089111328,22.4037799835205,23.5597362518311,23.8915176391602,24.1244487762451
"6129",256,480,26.6194629669189,20.018913269043,19.8581256866455,19.8145923614502,20.0497379302979,20.5326633453369,22.2347812652588,23.5152606964111,23.8870315551758,24.1244487762451
"6130",256,540,38.5596122741699,22.1411991119385,21.5778274536133,21.2617893218994,20.7772026062012,20.7833518981934,22.108341217041,23.4673919677734,23.8818550109863,24.1244487762451
"6131",256,600,48.0332794189453,24.5323925018311,23.6480236053467,23.0967483520508,21.9094181060791,21.3747978210449,22.0591850280762,23.419059753418,23.8759689331055,24.1244487762451
"6132",256,660,53.0278053283691,26.713249206543,25.6583518981934,24.967435836792,23.2524528503418,22.235969543457,22.1127986907959,23.3743705749512,23.8694171905518,24.1244487762451
"6133",256,720,55.1924858093262,28.4339809417725,27.3274383544922,26.5786209106445,24.577241897583,23.2270584106445,22.2756290435791,23.3378086090088,23.8623180389404,24.1244487762451
"6134",256,780,55.5630722045898,29.7592735290527,28.6653594970703,27.9082813262939,25.7786483764648,24.2223033905029,22.5348262786865,23.3133754730225,23.854850769043,24.1244487762451
"6135",256,840,52.2447547912598,30.4847297668457,29.528003692627,28.8399105072021,26.7749938964844,25.1426067352295,22.8675518035889,23.3039264678955,23.847282409668,24.1244487762451
"6136",256,900,44.7687683105469,30.3784484863281,29.6951560974121,29.171875,27.4241409301758,25.8945922851562,23.2447776794434,23.310941696167,23.8398742675781,24.1244487762451
